vendor,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_zone,dropoff_zone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
"Creative Mobile Technologies, LLC",11/13/2021 03:58:37 PM,11/13/2021 04:06:09 PM,1.0,2.0,Standard rate,N,125,68,Credit card,8.0,2.5,0.5,2.25,0.0,0.3,13.55,2.5
VeriFone Inc.,11/02/2021 12:27:11 AM,11/03/2021 12:19:30 AM,1.0,1.56,Standard rate,N,79,231,Credit card,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
VeriFone Inc.,11/16/2021 12:27:58 AM,11/16/2021 12:31:49 AM,1.0,0.91,Standard rate,N,48,48,Cash,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
VeriFone Inc.,11/14/2021 11:15:28 AM,11/14/2021 11:21:29 AM,1.0,1.12,Standard rate,N,170,234,Credit card,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
VeriFone Inc.,11/29/2021 11:27:51 AM,11/29/2021 11:37:45 AM,1.0,1.52,Standard rate,N,107,161,Credit card,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5
"Creative Mobile Technologies, LLC",11/20/2021 09:37:07 PM,11/20/2021 09:42:02 PM,2.0,0.8,Standard rate,N,141,262,Cash,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
VeriFone Inc.,11/12/2021 11:30:15 AM,11/12/2021 11:58:13 AM,1.0,3.95,Standard rate,N,148,236,Credit card,19.5,0.0,0.5,1.0,0.0,0.3,23.8,2.5
"Creative Mobile Technologies, LLC",11/29/2021 05:20:45 PM,11/29/2021 05:32:07 PM,1.0,1.7,Standard rate,N,48,141,Cash,9.0,3.5,0.5,0.0,0.0,0.3,13.3,2.5
VeriFone Inc.,11/24/2021 07:20:19 PM,11/24/2021 07:28:05 PM,1.0,1.5,Standard rate,N,143,238,Credit card,7.5,1.0,0.5,1.0,0.0,0.3,12.8,2.5
VeriFone Inc.,11/13/2021 08:11:17 AM,11/13/2021 08:21:11 AM,1.0,2.86,Standard rate,N,141,107,Credit card,10.5,0.0,0.5,2.0,0.0,0.3,15.8,2.5
VeriFone Inc.,11/15/2021 07:45:03 PM,11/15/2021 07:50:17 PM,1.0,1.12,Standard rate,N,107,113,Credit card,5.5,1.0,0.5,1.47,0.0,0.3,11.27,2.5
VeriFone Inc.,11/11/2021 03:46:52 PM,11/11/2021 03:57:39 PM,2.0,1.45,Standard rate,N,236,142,Cash,9.0,0.0,0.5,0.0,0.0,0.3,12.3,2.5
VeriFone Inc.,11/03/2021 02:45:52 PM,11/03/2021 02:52:38 PM,1.0,0.71,Standard rate,N,237,161,Credit card,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5
VeriFone Inc.,11/17/2021 09:47:35 AM,11/17/2021 10:05:14 AM,1.0,2.06,Standard rate,N,113,261,Cash,12.0,0.0,0.5,0.0,0.0,0.3,15.3,2.5
VeriFone Inc.,11/24/2021 03:13:49 PM,11/24/2021 03:29:41 PM,2.0,2.55,Standard rate,N,233,263,Credit card,11.5,0.0,0.5,1.48,0.0,0.3,16.28,2.5
VeriFone Inc.,11/26/2021 07:05:28 PM,11/26/2021 07:15:02 PM,1.0,1.74,Standard rate,N,237,43,Credit card,8.5,1.0,0.5,2.56,0.0,0.3,15.36,2.5
"Creative Mobile Technologies, LLC",11/29/2021 09:39:07 AM,11/29/2021 09:46:20 AM,1.0,1.7,Standard rate,N,140,233,Credit card,8.0,2.5,0.5,1.0,0.0,0.3,12.3,2.5
VeriFone Inc.,11/25/2021 01:50:09 AM,11/25/2021 02:03:32 AM,2.0,2.73,Standard rate,N,148,164,Credit card,12.0,0.5,0.5,4.74,0.0,0.3,20.54,2.5
VeriFone Inc.,11/06/2021 02:36:29 PM,11/06/2021 02:50:31 PM,1.0,3.1,Standard rate,N,13,68,Credit card,13.0,0.0,0.5,3.26,0.0,0.3,19.56,2.5
"Creative Mobile Technologies, LLC",11/04/2021 04:29:40 PM,11/04/2021 04:50:14 PM,3.0,1.3,Standard rate,N,43,142,Credit card,13.0,3.5,0.5,2.0,0.0,0.3,19.3,2.5
VeriFone Inc.,11/06/2021 08:15:36 PM,11/06/2021 08:22:34 PM,1.0,0.95,Standard rate,N,143,142,Credit card,6.5,0.0,0.5,1.2,0.0,0.3,11.0,2.5
VeriFone Inc.,11/30/2021 09:45:31 PM,11/30/2021 09:48:08 PM,2.0,0.51,Standard rate,N,142,48,Cash,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5
VeriFone Inc.,11/08/2021 07:39:47 AM,11/08/2021 07:53:03 AM,6.0,1.75,Standard rate,N,162,246,Credit card,10.5,0.0,0.5,1.38,0.0,0.3,15.18,2.5
"Creative Mobile Technologies, LLC",11/07/2021 10:30:52 AM,11/07/2021 10:46:37 AM,2.0,2.8,Standard rate,N,163,263,Credit card,13.0,2.5,0.5,3.25,0.0,0.3,19.55,2.5
VeriFone Inc.,11/06/2021 03:49:55 PM,11/06/2021 03:59:29 PM,2.0,1.25,Standard rate,N,233,48,Credit card,7.5,0.0,0.5,2.7,0.0,0.3,13.5,2.5
VeriFone Inc.,11/13/2021 03:06:55 PM,11/13/2021 03:15:21 PM,1.0,0.93,Standard rate,N,141,163,Credit card,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
VeriFone Inc.,11/04/2021 02:56:21 PM,11/04/2021 03:19:23 PM,1.0,2.37,Standard rate,N,90,161,Credit card,15.0,0.0,0.5,3.66,0.0,0.3,21.96,2.5
"Creative Mobile Technologies, LLC",11/22/2021 03:38:20 PM,11/22/2021 03:40:08 PM,2.0,0.2,Standard rate,N,151,238,Cash,3.5,2.5,0.5,0.0,0.0,0.3,6.8,2.5
VeriFone Inc.,11/06/2021 06:36:47 PM,11/06/2021 06:55:25 PM,2.0,1.68,Standard rate,N,100,43,Cash,12.5,0.0,0.5,0.0,0.0,0.3,15.8,2.5
VeriFone Inc.,11/16/2021 02:01:20 PM,11/16/2021 02:08:38 PM,1.0,0.74,Standard rate,N,42,42,Cash,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
VeriFone Inc.,11/14/2021 09:38:59 PM,11/14/2021 09:59:46 PM,4.0,3.61,Standard rate,N,161,151,Cash,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5
VeriFone Inc.,11/19/2021 07:11:46 AM,11/19/2021 07:15:30 AM,2.0,0.5,Standard rate,N,263,140,Credit card,4.5,0.0,0.5,1.17,0.0,0.3,8.97,2.5
"Creative Mobile Technologies, LLC",11/08/2021 05:49:34 PM,11/08/2021 05:59:43 PM,1.0,1.3,Standard rate,Y,161,237,Credit card,8.0,3.5,0.5,2.45,0.0,0.3,14.75,2.5
VeriFone Inc.,11/22/2021 01:03:30 PM,11/22/2021 01:18:53 PM,1.0,1.89,Standard rate,N,161,236,Credit card,11.5,0.0,0.5,3.7,0.0,0.3,18.5,2.5
"Creative Mobile Technologies, LLC",11/11/2021 04:46:41 PM,11/11/2021 05:13:25 PM,3.0,1.3,Standard rate,Y,237,162,Credit card,16.0,2.5,0.5,3.85,0.0,0.3,23.15,2.5
"Creative Mobile Technologies, LLC",11/06/2021 05:41:00 PM,11/06/2021 05:52:30 PM,2.0,1.6,Standard rate,N,239,48,Cash,9.0,2.5,0.5,0.0,0.0,0.3,12.3,2.5
VeriFone Inc.,11/04/2021 11:19:53 PM,11/04/2021 11:31:29 PM,3.0,2.15,Standard rate,N,107,232,Credit card,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
"Creative Mobile Technologies, LLC",11/05/2021 03:21:24 PM,11/05/2021 03:25:22 PM,1.0,0.3,Standard rate,N,263,263,Cash,4.0,2.5,0.5,0.0,0.0,0.3,7.3,2.5
VeriFone Inc.,11/08/2021 07:50:29 PM,11/08/2021 07:56:44 PM,1.0,1.26,Standard rate,N,162,162,Credit card,6.5,1.0,0.5,2.16,0.0,0.3,12.96,2.5
"Creative Mobile Technologies, LLC",11/29/2021 04:21:18 PM,11/29/2021 04:48:15 PM,1.0,3.3,Standard rate,N,263,42,Credit card,18.0,2.5,0.5,4.25,0.0,0.3,25.55,2.5
VeriFone Inc.,11/14/2021 07:46:46 AM,11/14/2021 08:00:57 AM,3.0,3.68,Standard rate,N,236,186,Cash,13.5,0.0,0.5,0.0,0.0,0.3,16.8,2.5
"Creative Mobile Technologies, LLC",11/20/2021 04:03:54 PM,11/20/2021 04:21:53 PM,1.0,2.7,Standard rate,N,170,236,Credit card,13.5,2.5,0.5,2.0,0.0,0.3,18.8,2.5
VeriFone Inc.,11/08/2021 06:29:53 PM,11/08/2021 06:49:23 PM,1.0,5.74,Standard rate,N,170,87,Credit card,19.5,1.0,0.5,4.76,0.0,0.3,28.56,2.5
VeriFone Inc.,11/16/2021 07:21:36 PM,11/16/2021 07:31:10 PM,2.0,1.2,Standard rate,N,162,142,Credit card,8.0,1.0,0.5,2.46,0.0,0.3,14.76,2.5
"Creative Mobile Technologies, LLC",11/17/2021 10:31:07 PM,11/17/2021 10:39:09 PM,2.0,1.0,Standard rate,N,249,68,Credit card,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
VeriFone Inc.,11/26/2021 11:25:31 AM,11/26/2021 11:46:59 AM,1.0,3.16,Standard rate,N,239,186,Cash,15.5,0.0,0.5,0.0,0.0,0.3,18.8,2.5
"Creative Mobile Technologies, LLC",11/04/2021 10:49:45 PM,11/04/2021 10:57:03 PM,2.0,0.7,Standard rate,N,161,233,Credit card,6.0,3.0,0.5,1.95,0.0,0.3,11.75,2.5
VeriFone Inc.,11/19/2021 12:16:12 AM,11/19/2021 12:30:39 AM,1.0,2.58,Standard rate,N,162,249,Credit card,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
VeriFone Inc.,11/26/2021 06:24:02 PM,11/26/2021 06:36:26 PM,2.0,1.88,Standard rate,N,209,79,Credit card,10.0,1.0,0.5,3.58,0.0,0.3,17.88,2.5
"Creative Mobile Technologies, LLC",11/02/2021 05:21:33 PM,11/02/2021 05:27:48 PM,1.0,1.0,Standard rate,N,170,107,Credit card,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5
VeriFone Inc.,11/08/2021 10:35:40 PM,11/08/2021 10:50:35 PM,5.0,3.05,Standard rate,N,238,140,Credit card,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
VeriFone Inc.,11/09/2021 09:47:50 AM,11/09/2021 10:03:53 AM,2.0,2.18,Standard rate,N,125,100,Credit card,12.0,0.0,0.5,3.06,0.0,0.3,18.36,2.5
VeriFone Inc.,11/30/2021 07:52:19 PM,11/30/2021 08:15:01 PM,1.0,4.62,Standard rate,N,211,229,Credit card,18.5,1.0,0.5,4.56,0.0,0.3,27.36,2.5
"Creative Mobile Technologies, LLC",11/04/2021 11:05:09 PM,11/04/2021 11:14:48 PM,2.0,1.6,Standard rate,N,234,68,Credit card,8.5,3.0,0.5,1.5,0.0,0.3,13.8,2.5
"Creative Mobile Technologies, LLC",11/30/2021 03:35:54 PM,11/30/2021 03:46:27 PM,1.0,1.0,Standard rate,N,237,236,Credit card,8.0,2.5,0.5,2.25,0.0,0.3,13.55,2.5
VeriFone Inc.,11/19/2021 01:00:48 PM,11/19/2021 01:20:33 PM,1.0,2.31,Standard rate,N,142,140,Credit card,13.5,0.0,0.5,3.0,0.0,0.3,19.8,2.5
"Creative Mobile Technologies, LLC",11/26/2021 07:06:45 PM,11/26/2021 07:14:12 PM,1.0,1.2,Standard rate,N,141,142,Credit card,7.0,3.5,0.5,2.8,0.0,0.3,14.1,2.5
"Creative Mobile Technologies, LLC",11/29/2021 07:54:36 PM,11/29/2021 08:00:06 PM,1.0,0.7,Standard rate,N,234,186,Credit card,5.5,3.0,0.5,1.85,0.0,0.3,11.15,2.5
"Creative Mobile Technologies, LLC",11/09/2021 08:39:50 AM,11/09/2021 08:56:36 AM,1.0,3.0,Standard rate,N,249,87,Credit card,13.5,2.5,0.5,3.35,0.0,0.3,20.15,2.5
VeriFone Inc.,11/24/2021 01:48:00 AM,11/24/2021 01:53:24 AM,3.0,1.18,Standard rate,N,170,68,Credit card,6.0,0.5,0.5,1.0,0.0,0.3,10.8,2.5
VeriFone Inc.,11/12/2021 11:26:14 AM,11/12/2021 11:51:14 AM,5.0,2.31,Standard rate,N,236,170,Credit card,16.0,0.0,0.5,3.0,0.0,0.3,22.3,2.5
VeriFone Inc.,11/04/2021 08:22:55 PM,11/04/2021 08:29:40 PM,1.0,1.0,Standard rate,N,48,142,Credit card,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
"Creative Mobile Technologies, LLC",11/26/2021 11:01:45 PM,11/26/2021 11:07:30 PM,2.0,1.2,Standard rate,N,48,143,Credit card,6.0,3.0,0.5,0.49,0.0,0.3,10.29,2.5
"Creative Mobile Technologies, LLC",11/28/2021 12:07:13 PM,11/28/2021 12:14:49 PM,1.0,1.2,Standard rate,N,48,143,Credit card,7.0,2.5,0.5,0.0,0.0,0.3,10.3,2.5
VeriFone Inc.,11/02/2021 07:12:58 AM,11/02/2021 07:17:54 AM,2.0,1.01,Standard rate,N,142,230,Credit card,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
"Creative Mobile Technologies, LLC",11/18/2021 12:57:12 PM,11/18/2021 01:55:47 PM,1.0,8.9,Standard rate,N,100,238,Credit card,37.5,2.5,0.5,10.2,0.0,0.3,51.0,2.5
"Creative Mobile Technologies, LLC",11/18/2021 01:41:07 PM,11/18/2021 01:55:44 PM,1.0,1.5,Standard rate,N,230,237,Credit card,10.0,2.5,0.5,3.3,0.0,0.3,16.6,2.5
VeriFone Inc.,11/22/2021 09:09:17 PM,11/22/2021 09:13:48 PM,3.0,0.88,Standard rate,N,262,75,Credit card,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
VeriFone Inc.,11/26/2021 09:42:31 AM,11/26/2021 09:51:42 AM,1.0,3.31,Standard rate,N,107,237,Credit card,11.0,0.0,0.5,1.0,0.0,0.3,15.3,2.5
VeriFone Inc.,11/12/2021 10:16:29 PM,11/12/2021 10:23:43 PM,1.0,2.37,Standard rate,N,239,166,Credit card,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
VeriFone Inc.,11/10/2021 06:56:11 PM,11/10/2021 06:59:12 PM,1.0,0.71,Standard rate,N,68,246,Credit card,4.5,1.0,0.5,1.32,0.0,0.3,10.12,2.5
"Creative Mobile Technologies, LLC",11/10/2021 07:48:53 AM,11/10/2021 07:53:37 AM,1.0,0.5,Standard rate,N,229,162,Credit card,5.0,2.5,0.5,1.65,0.0,0.3,9.95,2.5
VeriFone Inc.,11/20/2021 05:51:56 PM,11/20/2021 06:00:08 PM,1.0,1.12,Standard rate,N,142,239,Credit card,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
"Creative Mobile Technologies, LLC",11/18/2021 11:38:20 PM,11/18/2021 11:45:03 PM,1.0,1.2,Standard rate,N,164,50,Cash,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
"Creative Mobile Technologies, LLC",11/09/2021 07:10:34 PM,11/09/2021 07:22:53 PM,1.0,1.7,Standard rate,N,163,234,Credit card,9.5,3.5,0.5,2.75,0.0,0.3,16.55,2.5
"Creative Mobile Technologies, LLC",11/27/2021 10:55:19 PM,11/27/2021 11:06:59 PM,1.0,2.6,Standard rate,N,148,170,Cash,11.0,3.0,0.5,0.0,0.0,0.3,14.8,2.5
"Creative Mobile Technologies, LLC",11/12/2021 05:15:41 PM,11/12/2021 05:20:49 PM,1.0,0.8,Standard rate,N,143,50,Credit card,5.5,3.5,0.5,1.95,0.0,0.3,11.75,2.5
VeriFone Inc.,11/18/2021 08:46:08 AM,11/18/2021 08:54:27 AM,1.0,1.51,Standard rate,N,236,161,Credit card,8.0,0.0,0.5,1.13,0.0,0.3,12.43,2.5
VeriFone Inc.,11/02/2021 09:00:15 AM,11/02/2021 09:07:51 AM,1.0,0.75,Standard rate,N,90,100,Credit card,6.5,0.0,0.5,1.0,0.0,0.3,10.8,2.5
VeriFone Inc.,11/26/2021 01:28:12 PM,11/26/2021 01:46:55 PM,1.0,3.54,Standard rate,N,237,246,Credit card,15.0,0.0,0.5,2.74,0.0,0.3,21.04,2.5
"Creative Mobile Technologies, LLC",11/17/2021 07:41:38 PM,11/17/2021 07:51:35 PM,1.0,2.1,Standard rate,N,50,237,Cash,9.0,3.5,0.5,0.0,0.0,0.3,13.3,2.5
"Creative Mobile Technologies, LLC",11/08/2021 11:41:35 AM,11/08/2021 11:55:18 AM,1.0,1.7,Standard rate,N,170,229,Credit card,10.5,2.5,0.5,3.45,0.0,0.3,17.25,2.5
VeriFone Inc.,11/12/2021 07:38:00 AM,11/12/2021 07:45:56 AM,2.0,2.03,Standard rate,N,140,233,Credit card,8.5,0.0,0.5,1.65,0.0,0.3,13.45,2.5
"Creative Mobile Technologies, LLC",11/17/2021 04:56:16 PM,11/17/2021 05:31:27 PM,1.0,3.4,Standard rate,N,100,249,Credit card,22.0,3.5,0.5,7.85,0.0,0.3,34.15,2.5
VeriFone Inc.,11/21/2021 02:51:47 AM,11/21/2021 03:07:11 AM,2.0,3.21,Standard rate,N,163,79,Credit card,13.0,0.5,0.5,2.5,0.0,0.3,19.3,2.5
"Creative Mobile Technologies, LLC",11/02/2021 09:36:14 AM,11/02/2021 09:50:27 AM,1.0,2.0,Standard rate,N,246,163,Credit card,11.0,2.5,0.5,2.85,0.0,0.3,17.15,2.5
VeriFone Inc.,11/08/2021 08:39:53 AM,11/08/2021 08:47:21 AM,1.0,1.26,Standard rate,N,211,113,Credit card,7.0,0.0,0.5,3.09,0.0,0.3,13.39,2.5
VeriFone Inc.,11/18/2021 05:19:33 PM,11/18/2021 05:24:34 PM,1.0,1.13,Standard rate,N,79,224,Credit card,6.0,1.0,0.5,3.09,0.0,0.3,13.39,2.5
VeriFone Inc.,11/14/2021 02:50:21 PM,11/14/2021 02:55:19 PM,1.0,1.31,Standard rate,N,141,263,Credit card,6.0,0.0,0.5,1.0,0.0,0.3,10.3,2.5
VeriFone Inc.,11/12/2021 08:40:46 AM,11/12/2021 08:43:19 AM,1.0,0.47,Standard rate,N,237,237,Credit card,4.0,0.0,0.5,0.7,0.0,0.3,8.0,2.5
VeriFone Inc.,11/06/2021 01:29:53 AM,11/06/2021 01:37:04 AM,1.0,1.39,Standard rate,N,158,90,Cash,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
VeriFone Inc.,11/23/2021 11:53:21 AM,11/23/2021 11:59:16 AM,1.0,0.79,Standard rate,N,262,141,Credit card,5.5,0.0,0.5,1.32,0.0,0.3,10.12,2.5
VeriFone Inc.,11/13/2021 01:40:03 AM,11/13/2021 01:50:09 AM,1.0,1.5,Standard rate,N,170,114,Credit card,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
VeriFone Inc.,11/19/2021 11:38:23 PM,11/19/2021 11:50:04 PM,1.0,2.37,Standard rate,N,239,41,Credit card,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5
"Creative Mobile Technologies, LLC",11/02/2021 09:49:19 AM,11/02/2021 09:58:09 AM,1.0,1.2,Standard rate,N,164,162,Credit card,7.5,2.5,0.5,1.0,0.0,0.3,11.8,2.5
"Creative Mobile Technologies, LLC",11/24/2021 06:03:03 AM,11/24/2021 06:07:49 AM,2.0,1.2,Standard rate,N,50,246,Credit card,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5
"Creative Mobile Technologies, LLC",11/21/2021 02:16:16 AM,11/21/2021 02:25:41 AM,3.0,1.6,Standard rate,N,79,231,Credit card,8.5,3.0,0.5,3.05,0.0,0.3,15.35,2.5
VeriFone Inc.,11/22/2021 07:44:25 PM,11/22/2021 07:54:58 PM,1.0,1.04,Standard rate,N,142,143,Credit card,8.0,1.0,0.5,0.0,0.0,0.3,12.3,2.5
"Creative Mobile Technologies, LLC",11/07/2021 07:49:45 PM,11/07/2021 08:03:15 PM,1.0,3.6,Standard rate,N,79,141,Credit card,13.0,2.5,0.5,3.25,0.0,0.3,19.55,2.5
VeriFone Inc.,11/19/2021 06:13:46 PM,11/19/2021 06:30:40 PM,1.0,4.21,Standard rate,N,12,68,Cash,16.0,1.0,0.5,0.0,0.0,0.3,20.3,2.5
"Creative Mobile Technologies, LLC",11/10/2021 02:24:53 PM,11/10/2021 02:31:12 PM,1.0,0.9,Standard rate,N,141,236,Credit card,6.0,2.5,0.5,1.4,0.0,0.3,10.7,2.5
"Creative Mobile Technologies, LLC",11/26/2021 09:54:27 PM,11/26/2021 10:00:56 PM,1.0,1.8,Standard rate,N,90,48,Credit card,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5
VeriFone Inc.,11/13/2021 11:40:29 PM,11/13/2021 11:43:42 PM,1.0,0.71,Standard rate,N,141,263,Credit card,4.5,0.5,0.5,1.24,0.0,0.3,9.54,2.5
"Creative Mobile Technologies, LLC",11/03/2021 11:43:37 AM,11/03/2021 11:51:42 AM,1.0,1.2,Standard rate,N,211,249,Credit card,7.0,2.5,0.5,2.05,0.0,0.3,12.35,2.5
VeriFone Inc.,11/01/2021 10:31:49 PM,11/01/2021 10:36:16 PM,1.0,0.97,Standard rate,N,236,237,Credit card,5.5,0.5,0.5,1.4,0.0,0.3,10.7,2.5
"Creative Mobile Technologies, LLC",11/19/2021 04:53:30 PM,11/19/2021 05:02:31 PM,2.0,0.9,Standard rate,N,236,236,Credit card,7.0,3.5,0.5,2.25,0.0,0.3,13.55,2.5
VeriFone Inc.,11/04/2021 06:13:25 PM,11/04/2021 06:26:45 PM,1.0,1.71,Standard rate,N,143,48,Credit card,10.0,1.0,0.5,1.5,0.0,0.3,15.8,2.5
VeriFone Inc.,11/26/2021 05:34:36 PM,11/26/2021 05:38:09 PM,2.0,0.85,Standard rate,N,163,237,Credit card,5.0,1.0,0.5,1.86,0.0,0.3,11.16,2.5
VeriFone Inc.,11/09/2021 11:41:17 PM,11/09/2021 11:48:15 PM,1.0,0.9,Standard rate,N,230,162,Credit card,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5
"Creative Mobile Technologies, LLC",11/13/2021 04:09:29 AM,11/13/2021 04:23:07 AM,1.0,3.8,Standard rate,N,125,229,Credit card,13.5,3.0,0.5,1.0,0.0,0.3,18.3,2.5
VeriFone Inc.,11/09/2021 10:24:19 PM,11/09/2021 10:38:19 PM,1.0,3.53,Standard rate,N,230,231,Credit card,12.5,0.5,0.5,2.44,0.0,0.3,18.74,2.5
"Creative Mobile Technologies, LLC",11/26/2021 08:35:23 AM,11/26/2021 08:42:36 AM,1.0,1.0,Standard rate,N,166,41,Credit card,7.0,0.0,0.5,2.3,0.0,0.3,10.1,0.0
"Creative Mobile Technologies, LLC",11/06/2021 03:13:53 PM,11/06/2021 03:20:45 PM,2.0,0.8,Standard rate,N,230,170,Credit card,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5
VeriFone Inc.,11/15/2021 02:37:16 PM,11/15/2021 02:47:56 PM,3.0,2.32,Standard rate,N,107,141,Credit card,10.0,0.5,0.5,1.0,0.0,0.3,14.8,2.5
VeriFone Inc.,11/19/2021 06:17:07 PM,11/19/2021 06:35:38 PM,2.0,2.31,Standard rate,N,234,246,Credit card,13.5,1.0,0.5,3.56,0.0,0.3,21.36,2.5
VeriFone Inc.,11/18/2021 08:21:13 AM,11/18/2021 08:22:48 AM,2.0,0.47,Standard rate,N,239,239,Credit card,3.5,0.0,0.5,1.36,0.0,0.3,8.16,2.5
VeriFone Inc.,11/26/2021 03:38:08 PM,11/26/2021 03:46:51 PM,1.0,1.91,Standard rate,N,161,236,Credit card,9.0,0.0,0.5,3.08,0.0,0.3,15.38,2.5
"Creative Mobile Technologies, LLC",11/01/2021 04:27:18 PM,11/01/2021 04:36:37 PM,1.0,1.9,Standard rate,N,170,140,Credit card,8.5,3.5,0.5,0.0,0.0,0.3,12.8,2.5
VeriFone Inc.,11/02/2021 07:46:07 AM,11/02/2021 07:50:08 AM,1.0,0.47,Standard rate,N,231,13,Credit card,4.5,0.0,0.5,1.95,0.0,0.3,9.75,2.5
VeriFone Inc.,11/16/2021 02:50:51 PM,11/16/2021 03:01:06 PM,1.0,1.94,Standard rate,N,151,116,Cash,9.5,0.0,0.5,0.0,0.0,0.3,10.3,0.0
VeriFone Inc.,11/06/2021 03:39:15 PM,11/06/2021 03:52:10 PM,1.0,1.89,Standard rate,N,231,249,Credit card,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
VeriFone Inc.,11/14/2021 06:37:26 PM,11/14/2021 06:52:29 PM,2.0,1.38,Standard rate,N,164,230,Credit card,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
"Creative Mobile Technologies, LLC",11/17/2021 07:26:53 AM,11/17/2021 07:37:55 AM,1.0,2.0,Standard rate,N,186,162,Credit card,9.5,2.5,0.5,1.0,0.0,0.3,13.8,2.5
"Creative Mobile Technologies, LLC",11/02/2021 10:42:49 PM,11/02/2021 10:58:49 PM,2.0,2.9,Standard rate,Y,48,238,Credit card,13.5,3.0,0.5,1.73,0.0,0.3,19.03,2.5
VeriFone Inc.,11/10/2021 09:36:02 PM,11/10/2021 09:39:36 PM,1.0,1.13,Standard rate,N,236,238,Credit card,5.5,0.5,0.5,1.5,0.0,0.3,10.8,2.5
VeriFone Inc.,11/06/2021 04:02:03 PM,11/06/2021 04:17:58 PM,2.0,1.63,Standard rate,N,43,170,Cash,11.0,0.0,0.5,0.0,0.0,0.3,14.3,2.5
"Creative Mobile Technologies, LLC",11/10/2021 07:12:51 PM,11/10/2021 07:30:48 PM,2.0,2.1,Standard rate,N,237,233,Credit card,12.5,3.5,0.5,3.35,0.0,0.3,20.15,2.5
VeriFone Inc.,11/20/2021 02:12:40 PM,11/20/2021 02:29:58 PM,1.0,2.07,Standard rate,N,238,263,Credit card,12.5,0.0,0.5,2.0,0.0,0.3,17.8,2.5
VeriFone Inc.,11/06/2021 02:24:18 PM,11/06/2021 02:33:57 PM,2.0,0.84,Standard rate,N,144,144,Credit card,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
VeriFone Inc.,11/15/2021 03:07:00 PM,11/15/2021 03:22:52 PM,1.0,1.29,Standard rate,N,236,140,Credit card,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
VeriFone Inc.,11/27/2021 06:05:39 PM,11/27/2021 06:17:28 PM,1.0,1.04,Standard rate,N,68,246,Credit card,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5
VeriFone Inc.,11/04/2021 07:29:58 PM,11/04/2021 07:34:18 PM,2.0,0.58,Standard rate,N,263,43,Cash,5.0,1.0,0.5,0.0,0.0,0.3,9.3,2.5
VeriFone Inc.,11/17/2021 08:51:19 AM,11/17/2021 09:02:54 AM,2.0,1.15,Standard rate,N,161,48,Credit card,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
VeriFone Inc.,11/20/2021 05:13:40 PM,11/20/2021 05:47:00 PM,1.0,2.93,Standard rate,N,125,163,Credit card,20.0,0.0,0.5,6.99,0.0,0.3,30.29,2.5
VeriFone Inc.,11/03/2021 11:52:47 AM,11/03/2021 12:02:46 PM,1.0,0.75,Standard rate,N,161,161,Credit card,7.5,0.0,0.5,1.62,0.0,0.3,12.42,2.5
"Creative Mobile Technologies, LLC",11/09/2021 07:19:54 PM,11/09/2021 07:24:36 PM,1.0,0.4,Standard rate,N,161,237,Credit card,5.0,3.5,0.5,1.85,0.0,0.3,11.15,2.5
