vendor,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_zone,dropoff_zone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
VeriFone Inc.,11/13/2021 04:32:26 PM,11/13/2021 04:48:30 PM,2.0,2.74,Standard rate,N,143,236,Credit card,13.0,0.0,0.5,3.26,0.0,0.3,19.56,2.5
VeriFone Inc.,11/13/2021 08:19:10 PM,11/13/2021 08:30:24 PM,1.0,1.41,Standard rate,N,79,125,Credit card,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
VeriFone Inc.,11/23/2021 02:43:03 PM,11/23/2021 02:55:46 PM,3.0,0.91,Standard rate,N,68,234,Credit card,9.0,0.0,0.5,1.84,0.0,0.3,14.14,2.5
VeriFone Inc.,11/20/2021 04:11:56 PM,11/20/2021 04:36:15 PM,1.0,3.97,Standard rate,N,90,239,Credit card,18.5,0.0,0.5,4.36,0.0,0.3,26.16,2.5
VeriFone Inc.,11/20/2021 12:49:10 PM,11/20/2021 01:00:00 PM,2.0,1.95,Standard rate,N,163,238,Credit card,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
VeriFone Inc.,11/19/2021 05:53:17 PM,11/19/2021 05:57:44 PM,1.0,0.47,Standard rate,N,263,236,Credit card,4.5,1.0,0.5,3.0,0.0,0.3,11.8,2.5
VeriFone Inc.,11/24/2021 07:33:52 PM,11/24/2021 07:48:38 PM,1.0,1.75,Standard rate,N,186,161,Cash,10.5,1.0,0.5,0.0,0.0,0.3,14.8,2.5
VeriFone Inc.,11/01/2021 08:37:03 AM,11/01/2021 09:01:23 AM,1.0,4.95,Standard rate,N,249,262,Credit card,18.5,0.0,0.5,5.0,0.0,0.3,26.8,2.5
VeriFone Inc.,11/09/2021 12:10:37 PM,11/09/2021 12:22:42 PM,1.0,0.79,Standard rate,N,237,161,Cash,8.5,0.0,0.5,0.0,0.0,0.3,11.8,2.5
VeriFone Inc.,11/30/2021 01:13:35 PM,11/30/2021 01:23:38 PM,1.0,1.44,Standard rate,N,164,186,Cash,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
